symbol,series,date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover,no_of_trades,deliverable_qty,dly_qt_to_traded_qty,daily_return_%,price_range,delivery_ratio_%,month,quarter,year
HDFCBANK,EQ,2019-12-10,1242.95,1251.0,1253.65,1245.1,1250.1,1249.5,1249.14,4894450,6113859550.55,137774,3433356,70.15,0.527,8.55,70.15,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-11,1249.5,1250.1,1254.0,1242.5,1250.55,1248.75,1248.04,5527321,6898336218.4,160384,4132402,74.76,-0.06,11.5,74.76,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-12,1248.75,1253.0,1269.45,1253.0,1265.8,1263.6,1261.92,6456574,8147695875.65,142217,4174002,64.65,1.1892,16.45,64.65,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-13,1263.6,1265.0,1272.35,1259.25,1263.1,1263.85,1266.95,5887593,7459262686.8,104179,4094699,69.55,0.0198,13.1,69.55,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-16,1263.85,1269.25,1270.0,1248.2,1258.7,1257.35,1256.17,5663788,7114678289.85,246978,3778135,66.71,-0.5143,21.8,66.71,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-17,1257.35,1260.0,1274.8,1255.35,1271.75,1271.1,1267.95,6213677,7878637927.25,169567,4315153,69.45,1.0936,19.45,69.45,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-18,1271.1,1283.0,1299.0,1273.65,1292.7,1292.35,1287.03,8723586,11227488009.5,201690,5314964,60.93,1.6718,25.35,60.93,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-19,1292.35,1305.0,1305.5,1286.1,1288.5,1288.8,1296.05,6509188,8436211795.4,151485,3523544,54.13,-0.2747,19.4,54.13,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-20,1288.8,1288.75,1299.6,1280.05,1296.45,1296.7,1292.36,7513022,9709492966.65,141458,5167224,68.78,0.613,19.55,68.78,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-23,1296.7,1299.0,1304.0,1288.8,1301.5,1302.4,1298.01,5097891,6617101355.25,126370,3173217,62.25,0.4396,15.2,62.25,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-24,1302.4,1298.6,1301.1,1286.95,1290.0,1289.15,1293.83,3589604,4644339997.8,91053,2207659,61.5,-1.0174,14.15,61.5,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-26,1289.15,1289.7,1291.85,1264.65,1269.85,1270.45,1274.91,7474879,9529779205.65,126918,4019243,53.77,-1.4506,27.2,53.77,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-27,1270.45,1272.0,1279.0,1270.0,1275.75,1275.0,1275.3,3546496,4522859102.1,104711,2510820,70.8,0.3581,9.0,70.8,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-30,1275.0,1282.0,1288.75,1274.05,1284.9,1282.15,1282.1,4667095,5983704059.55,116012,2945151,63.1,0.5608,14.7,63.1,2019-12,2019Q4,2019
